Fri Sep 22 13:07:45 2017    utils.Na62Loader_profile.txt

         446797 function calls (441493 primitive calls) in 35.333 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2807    0.002    0.000    0.003    0.000 httplib.py:860(_output)
      401    0.002    0.000    0.002    0.000 socket.py:250(__init__)
      401    0.001    0.000    0.002    0.000 timeout.py:156(clone)
      401    0.002    0.000    0.002    0.000 url.py:99(split_first)
      236    0.002    0.000    0.002    0.000 fields.py:138(render_headers)
       68    0.002    0.000    0.002    0.000 socket.py:189(__init__)
     2807    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
    10500    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
 1180/708    0.001    0.000    0.002    0.000 api_client.py:195(<genexpr>)
     5714    0.002    0.000    0.002    0.000 {cStringIO.StringIO}
      806    0.002    0.000    0.002    0.000 threading.py:300(_is_owned)
      401    0.001    0.000    0.002    0.000 httplib.py:517(_check_close)
     7849    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     4379    0.002    0.000    0.002    0.000 {method 'readline' of 'cStringIO.StringO' objects}
     1036    0.002    0.000    0.002    0.000 __init__.py:1346(getEffectiveLevel)
     6815    0.002    0.000    0.002    0.000 stat.py:24(S_IFMT)
      400    0.002    0.000    0.002    0.000 collections.py:81(__delitem__)
      469    0.002    0.000    0.002    0.000 {method 'settimeout' of '_socket.socket' objects}
       82    0.001    0.000    0.002    0.000 global_tag_map_dto.py:136(to_dict)
     4247    0.002    0.000    0.002    0.000 rfc822.py:214(islast)
     1134    0.001    0.000    0.002    0.000 mimetypes.py:78(add_type)
      684    0.002    0.000    0.002    0.000 {locals}
      401    0.001    0.000    0.002    0.000 retry.py:294(is_retry)
      401    0.001    0.000    0.002    0.000 rest.py:40(__init__)
      401    0.001    0.000    0.002    0.000 response.py:489(closed)
      334    0.002    0.000    0.002    0.000 {method 'close' of 'select.kqueue' objects}
      118    0.000    0.000    0.002    0.000 base64_codec.py:13(base64_encode)
  409/405    0.001    0.000    0.002    0.000 abc.py:148(__subclasscheck__)
     1862    0.002    0.000    0.002    0.000 {method 'readline' of 'file' objects}
      236    0.002    0.000    0.002    0.000 payload_dto.py:24(__init__)
     2015    0.002    0.000    0.002    0.000 {method 'acquire' of 'thread.lock' objects}
        2    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
      401    0.001    0.000    0.001    0.000 contextlib.py:82(helper)
     2792    0.001    0.000    0.001    0.000 {range}
      118    0.001    0.000    0.001    0.000 {method 'getvalue' of '_io.BytesIO' objects}
      402    0.001    0.000    0.001    0.000 _abcoll.py:548(update)
        3    0.001    0.000    0.001    0.000 {__import__}
     1604    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      354    0.000    0.000    0.001    0.000 {any}
      401    0.001    0.000    0.001    0.000 request.py:77(set_file_position)
     2283    0.001    0.000    0.001    0.000 collections.py:90(__iter__)
      401    0.001    0.000    0.001    0.000 <string>:8(__new__)
      401    0.001    0.000    0.001    0.000 retry.py:285(_is_method_retryable)
      134    0.000    0.000    0.001    0.000 httplib.py:826(close)
      118    0.001    0.000    0.001    0.000 base64.py:317(encodestring)
        7    0.000    0.000    0.001    0.000 sre_compile.py:567(compile)
        1    0.000    0.000    0.001    0.001 argparse.py:1556(__init__)
      401    0.001    0.000    0.001    0.000 response.py:161(get_redirect_location)
     4247    0.001    0.000    0.001    0.000 rfc822.py:224(iscomment)
      401    0.001    0.000    0.001    0.000 response.py:260(_decode)
      333    0.001    0.000    0.001    0.000 selectors.py:165(__init__)
