Fri Sep 22 16:41:02 2017    utils.Na62Loader_profile.txt

         438463 function calls (432733 primitive calls) in 37.030 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.005    0.001    0.005    0.001 {_socket.getaddrinfo}
     3212    0.005    0.000    0.005    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      806    0.003    0.000    0.005    0.000 threading.py:373(notify)
      236    0.001    0.000    0.005    0.000 fields.py:116(_render_parts)
      283    0.002    0.000    0.005    0.000 api_client.py:208(<dictcomp>)
      401    0.002    0.000    0.005    0.000 contextlib.py:21(__exit__)
     3622    0.005    0.000    0.005    0.000 _weakrefset.py:70(__contains__)
      396    0.000    0.000    0.005    0.000 selectors.py:281(__exit__)
     5890    0.004    0.000    0.004    0.000 {method 'find' of 'str' objects}
       65    0.000    0.000    0.004    0.000 rest.py:285(__str__)
      396    0.002    0.000    0.004    0.000 selectors.py:505(select)
      401    0.003    0.000    0.004    0.000 socket.py:340(read)
     3528    0.004    0.000    0.004    0.000 {hasattr}
       82    0.002    0.000    0.004    0.000 tag_dto.py:256(to_dict)
      807    0.003    0.000    0.004    0.000 threading.py:147(acquire)
     2406    0.003    0.000    0.004    0.000 rfc822.py:290(getheader)
      396    0.001    0.000    0.004    0.000 selectors.py:534(close)
      118    0.003    0.000    0.004    0.000 uuid.py:103(__init__)
      195    0.000    0.000    0.004    0.000 {method 'format' of 'str' objects}
     1669    0.003    0.000    0.004    0.000 _collections.py:150(__getitem__)
    10140    0.004    0.000    0.004    0.000 {method 'seek' of 'cStringIO.StringO' objects}
      401    0.001    0.000    0.004    0.000 re.py:143(search)
      973    0.002    0.000    0.004    0.000 __init__.py:1360(isEnabledFor)
      401    0.002    0.000    0.004    0.000 collections.py:149(pop)
      401    0.002    0.000    0.004    0.000 url.py:22(__new__)
21384/21373    0.004    0.000    0.004    0.000 {len}
      354    0.000    0.000    0.004    0.000 fields.py:105(_render_part)
       65    0.001    0.000    0.004    0.000 _collections.py:270(__repr__)
      396    0.000    0.000    0.004    0.000 selectors.py:172(_fileobj_lookup)
     1732    0.002    0.000    0.004    0.000 {setattr}
      401    0.001    0.000    0.003    0.000 httplib.py:1044(_set_content_length)
      803    0.002    0.000    0.003    0.000 timeout.py:93(__init__)
      803    0.001    0.000    0.003    0.000 threading.py:215(__exit__)
      802    0.002    0.000    0.003    0.000 response.py:289(_error_catcher)
