tagname
MUV2-ROMezzaninesT0-NA62HEAD
MUV2-ROMezzaninesT0-NA62CALIB
MUV2-CoarseT0-NA62HEAD
MUV2-CoarseT0-NA62CALIB
MUV1-StationsT0-NA62HEAD
MUV1-StationsT0-NA62CALIB
MUV1-ROMezzaninesT0-NA62HEAD
MUV1-ROMezzaninesT0-NA62CALIB
MUV1-CoarseT0-NA62HEAD
MUV1-CoarseT0-NA62CALIB
MUV0-T0-NA62HEAD
MUV0-T0-NA62CALIB
MUV0-StationsT0-NA62HEAD
MUV0-StationsT0-NA62CALIB
MUV0-ROMezzaninesT0-NA62HEAD
MUV0-ROMezzaninesT0-NA62CALIB
MUV0-CoarseT0-NA62HEAD
MUV0-CoarseT0-NA62CALIB
MDTRT-RUN2-UPD4-19
LKr-chaslope-NA62HEAD
LKr-chaslope-NA62CALIB
LKr-chapedes-NA62HEAD
LKr-chapedes-NA62CALIB
LKr-StationsT0-NA62HEAD
LKr-StationsT0-NA62CALIB
LKr-ROMezzaninesT0-NA62HEAD
LKr-ROMezzaninesT0-NA62CALIB
LKr-CoarseT0-NA62HEAD
LKr-CoarseT0-NA62CALIB
LArCellPositionShift-RUN2-UPD1-00
LAV-T0-NA62HEAD
LAV-T0-NA62CALIB
LAV-StationsT0-NA62HEAD
LAV-StationsT0-NA62CALIB
LAV-ROMezzaninesT0-NA62HEAD
LAV-ROMezzaninesT0-NA62CALIB
LAV-CoarseT0-NA62HEAD
LAV-CoarseT0-NA62CALIB
LAR_ElecCalibFlat_OFC
LARTimeCorrectionOflCellTimeOffset-RUN2-UPD4-01
LARNoiseOflCellNoise-RUN2-UPD4-04
LARIdentifierOflHVLineToElectrodeMap-v18
LARIdentifierOflHVLineToElectrodeMap-RUN2-UPD4-01
LARHVPathologiesOflPathologies-RUN2-UPD4-02
LARElecCalibOflOFCPhysWaveRTM4samples3bins17phases-RUN2-UPD1-00
LARElecCalibOflOFCPhysWaveRTM4samples1phase-RUN2-UPD4-01
LARElecCalibOflLArPileupShape-RUN2-SpecRun
LARElecCalibOflLArPileupAverage-RUN2-UPD4-06
LARCellCorrOflEnergyCorr-RUN2-UPD4-04
LARCellCorrOflDeadOTX-RUN2-UPD4-00
LARBadChannelsOflMissingFEBs-RUN2-UPD4-02
LARBadChannelsOflKnownMNBFEBs-RUN2-UPD4-00
LARBadChannelsOflKnownBADFEBs-RUN2-UPD4-00
LARBadChannelsOflEventVeto-RUN2-UPD4-06
LARBadChannelsOflBadChannels-RUN2-UPD4-17
IRC-T0-NA62HEAD
IRC-T0-NA62CALIB
IRC-StationsT0-NA62HEAD
IRC-StationsT0-NA62CALIB
IRC-ROMezzaninesT0-NA62HEAD
IRC-ROMezzaninesT0-NA62CALIB
IRC-CoarseT0-NA62HEAD
IRC-CoarseT0-NA62CALIB
HAC-T0-NA62HEAD
HAC-T0-NA62CALIB
HAC-StationsT0-NA62HEAD
HAC-StationsT0-NA62CALIB
HAC-ROMezzaninesT0-NA62HEAD
HAC-ROMezzaninesT0-NA62CALIB
HAC-CoarseT0-NA62HEAD
HAC-CoarseT0-NA62CALIB
GigaTracker-StationsT0-NA62HEAD
GigaTracker-StationsT0-NA62CALIB
GigaTracker-ROMezzaninesT0-NA62HEAD
GigaTracker-ROMezzaninesT0-NA62CALIB
GigaTracker-CoarseT0-NA62HEAD
GigaTracker-CoarseT0-NA62CALIB
Cedar-T0-NA62HEAD
Cedar-T0-NA62CALIB
Cedar-StationsT0-NA62HEAD
Cedar-StationsT0-NA62CALIB
Cedar-ROMezzaninesT0-NA62HEAD
Cedar-ROMezzaninesT0-NA62CALIB
Cedar-CoarseT0-NA62HEAD
Cedar-CoarseT0-NA62CALIB
CHOD-T0-NA62HEAD
CHOD-T0-NA62CALIB
CHOD-StationsT0-NA62HEAD
CHOD-StationsT0-NA62CALIB
CHOD-ROMezzaninesT0-NA62HEAD
CHOD-ROMezzaninesT0-NA62CALIB
CHOD-CoarseT0-NA62HEAD
CHOD-CoarseT0-NA62CALIB
CHANTI-T0-NA62HEAD
CHANTI-T0-NA62CALIB
CHANTI-StationsT0-NA62HEAD
CHANTI-StationsT0-NA62CALIB
CHANTI-ROMezzaninesT0-NA62HEAD
CHANTI-ROMezzaninesT0-NA62CALIB
CHANTI-CoarseT0-NA62HEAD
CHANTI-CoarseT0-NA62CALIB
AF_TEST_TAG
